ID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Reference,Flaechengewicht (kg/m2),Density (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil,GWPtotal
59ff4420-4b5d-451e-a349-ebf08b2c5cc8,TS 71/TS 72,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',CN,dormakaba International Holding GmbH,EPD-DOR-20220164-CBA1-EN,1,pcs.,,,,,1.74,,,,13.044,,,0.133,0.157,,,,,,,,0.0,0.007,0.415,0.0,-0.0066854,13.755,13.756
1cf38ce1-36f6-4819-9ba7-e39235c41bc9,TS 73 V,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',SG,dormakaba International Holding GmbH,EPD-DOR-20220161-CBA1-EN,1,pcs.,,,,,2.11,,,,20.225,,,0.838,0.122,,,,,,,,0.0,0.009,0.043,0.002,-0.0136028,21.247,21.239
44a07da3-eae8-4d97-9909-747d635fb07e,TS 83,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',SG,dormakaba International Holding GmbH,EPD-DOR-20220163-CBA1-EN,1,pcs.,,,,,2.65,,,,23.042,,,0.979,0.122,,,,,,,,0.0,0.011,0.463,0.0,0.0174781,24.594,24.617
cdf23e80-b2db-40ea-985b-058ab5f3f681,TS 90 Impulse,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',SG,dormakaba International Holding GmbH,EPD-DOR-20220068-CBA7-EN,1,pcs.,,,,,2.5,,,,7.496,,,0.305,0.825,,,,,,,,0.0,0.008,0.048,0.002,-0.1186286,8.797,8.684
7c9336b4-4792-4a21-8fe6-12233b9e32d1,TS 91,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',SG,dormakaba International Holding GmbH,EPD-DOR-20220162-CBA1-EN,1,pcs.,,,,,2.75,,,,19.332,,,0.21,0.366,,,,,,,,0.0,0.011,0.106,0.002,-0.0755084,20.095,20.027
2d429f70-485b-47d5-a1f7-351d52325c46,TS 92 XEA,'Komponenten von Fenstern und Vorhangfassaden' / 'Beschläge' / 'Befestigungen','DIN EN 15804+A2' / 'ISO 14025',SG,dormakaba International Holding GmbH,EPD-DOR-20220215-CBA1-EN,1,pcs.,,,,,3.34,,,,25.153,,,0.237,0.085,,,,,,,,0.0,0.014,1.293,0.0,0.0759035,26.699,26.782
3e43e07a-0015-4232-acf5-e80ed2caef24,Tarus 400,'Gebäudetechnik' / 'Elektro' / 'Beleuchtung','EN 15804+A2' / 'ISO 14025',IT,GMR ENLIGHTS s.r.l.,EPD-GMR-201-EN,1,pcs.,,,,,,,,78.1,,0.222,1.66,,,,,,,,,,0.0,0.0817,4.23,0.0343,-0.0791131,84.2079,84.328
55655099-d117-4e13-b173-c173122c928f,"TaskWorx® Carpet Tile with EcoSolution Q®, Solution Q®, or Solution Q Extreme® Face Fibre",'Kunststoffe' / 'Bodenbeläge' / 'Mehrschichtig modulare Bodenbeläge','DIN EN 15804+A2' / 'ISO 14025',RER,Shaw Contract (Shaw Europe Ltd.),EPD-SHA-20230443-CBA1-EN,1,qm,4.292,,0.007,,,,,,7.8077259,,,0.2677091,0.5196547,0.0002539,0.2894979,,,,,,0.0,0.0581395,0.0,0.301102,-0.3459373,9.5857333,9.2440828
ae0ccd6d-d452-4b95-a1ea-3ff5e02af2df,TaskWorx® Carpet Tile with Polyamide 6 (Aquafil) Face Fibre,'Kunststoffe' / 'Bodenbeläge' / 'Mehrschichtig modulare Bodenbeläge','DIN EN 15804+A2' / 'ISO 14025',RER,Shaw Contract (Shaw Europe Ltd.),EPD-SHA-20230448-CBA1-EN,1,qm,3.901,,0.0053,,,,,,5.7303491,,,0.2450878,0.4075952,0.0002539,0.2894979,,,,,,0.0,0.0528418,0.0,0.2736654,-0.3662318,7.3616414,6.999291
285de5b0-358c-48f6-adaa-c1b07b3fa1cb,Tectofin RG,'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen','DIN EN 15804+A2' / 'ISO 14025',RER,BMI Technical Services GmbH,EPD-BMI-20200176-IBB1-DE,1,qm,1.9,1266.7,0.0015,,,1.9,,,8.2907,,,,,,,,,,,,0.0,0.00453,4.93,0.0,-0.2543351,13.46301,13.22523
